ArrayTaskID Re k h mesh bdf dt conv
1 500 2 8 1 BDF3 0.01 conv
2 500 2 4 1 BDF3 0.01 conv
3 500 2 2 1 BDF3 0.01 conv
4 500 2 1 1 BDF3 0.01 conv
5 500 3 8 1 BDF3 0.01 conv
6 500 3 4 1 BDF3 0.01 conv
7 500 3 2 1 BDF3 0.01 conv
8 500 3 1 1 BDF3 0.01 conv
9 500 4 8 1 BDF3 0.01 conv
10 500 4 4 1 BDF3 0.01 conv
11 500 4 2 1 BDF3 0.01 conv
12 500 2 8 1 BDF3 0.01 EMAC
13 500 2 4 1 BDF3 0.01 EMAC
14 500 2 2 1 BDF3 0.01 EMAC
15 500 2 1 1 BDF3 0.01 EMAC
16 500 3 8 1 BDF3 0.01 EMAC
17 500 3 4 1 BDF3 0.01 EMAC
18 500 3 2 1 BDF3 0.01 EMAC
19 500 3 1 1 BDF3 0.01 EMAC
20 500 4 8 1 BDF3 0.01 EMAC
21 500 4 4 1 BDF3 0.01 EMAC
22 500 4 2 1 BDF3 0.01 EMAC
23 500 3 8 1 BDF2 0.01 EMAC
24 500 3 4 1 BDF2 0.01 EMAC
25 500 3 2 1 BDF2 0.01 EMAC
26 500 3 1 1 BDF2 0.01 EMAC
27 500 3 8 1 BDF3 0.005 EMAC
28 500 3 4 1 BDF3 0.005 EMAC
29 500 3 2 1 BDF3 0.005 EMAC
30 500 3 1 1 BDF3 0.005 EMAC
31 1000 2 8 1 BDF3 0.01 conv
32 1000 2 4 1 BDF3 0.01 conv
33 1000 2 2 1 BDF3 0.01 conv
34 1000 2 1 1 BDF3 0.01 conv
35 1000 3 8 1 BDF3 0.01 conv
36 1000 3 4 1 BDF3 0.01 conv
37 1000 3 2 1 BDF3 0.01 conv
38 1000 3 1 1 BDF3 0.01 conv
39 1000 4 8 1 BDF3 0.01 conv
40 1000 4 4 1 BDF3 0.01 conv
41 1000 4 2 1 BDF3 0.01 conv
42 1000 2 8 1 BDF3 0.01 EMAC
43 1000 2 4 1 BDF3 0.01 EMAC
44 1000 2 2 1 BDF3 0.01 EMAC
45 1000 2 1 1 BDF3 0.01 EMAC
46 1000 3 8 1 BDF3 0.01 EMAC
47 1000 3 4 1 BDF3 0.01 EMAC
48 1000 3 2 1 BDF3 0.01 EMAC
49 1000 3 1 1 BDF3 0.01 EMAC
50 1000 4 8 1 BDF3 0.01 EMAC
51 1000 4 4 1 BDF3 0.01 EMAC
52 1000 4 2 1 BDF3 0.01 EMAC
