time dragvol liftvol dragbnd liftbnd div kin_energy mom0 mom1 angmom
0.005 0.02269772458291552 -1.0946332651501678e-05 0.02269359442819758 -8.890055036796826e-06 0.0042106980756869096 9943.161026760503 19799.999999999884 -2.992001584640677e-13 593999.9912880304
0.01 0.02316193208109074 -1.0303317948572233e-05 0.02315896940929522 -7.603014369382632e-06 0.004292206796370933 9943.161041123367 19799.99999999989 -2.020675293756824e-13 593999.9911830234
0.015 0.023857648623702148 -8.917901649444614e-06 0.0238533906600299 -6.478062580501934e-06 0.0044394626156485 9943.161057802477 19799.99999999993 -2.575237183330588e-13 593999.9910779821
0.02 0.02432128527414548 -8.87692897847275e-06 0.024318376757521954 -6.439085830230399e-06 0.004644308071148164 9943.16107679621 19799.99999999995 -3.504364496070139e-13 593999.9909729153
0.025 0.024784865924902675 -8.906067303403518e-06 0.02478321556019877 -6.5326827419004e-06 0.004892159994331009 9943.161098103254 19799.99999999991 -3.6080860521536806e-13 593999.9908678437
0.03 0.025248461377670544 -8.890758353530562e-06 0.025247979722776308 -6.620192368766248e-06 0.0051750930767629376 9943.161121723042 19799.99999999999 -3.4125827164110945e-13 593999.9907627802
0.035 0.025712124104220715 -8.888923698968237e-06 0.025712735146882194 -6.736958803543535e-06 0.005488153785737719 9943.161147655082 19799.999999999876 -1.977064345570767e-13 593999.9906577226
0.04 0.02617588507718667 -8.93458783021444e-06 0.026177520014839167 -6.9073236992466785e-06 0.00582633143600713 9943.161175899395 19800.00000000004 -1.6561022843884776e-13 593999.9905526845
0.045 0.026639762699804562 -9.02034269460225e-06 0.026642355446297394 -7.119296420165216e-06 0.006184864551592031 9943.161206456007 19799.999999999858 -2.526381881473583e-13 593999.9904476573
0.05 0.0271037693972741 -9.127731823441201e-06 0.027107257135694975 -7.35028665843241e-06 0.006559769602513897 9943.161239325063 19799.999999999898 -1.9008405960363461e-13 593999.9903426546
0.055 0.027567914865403782 -9.243295254138515e-06 0.027572240035314336 -7.583712435246487e-06 0.006947835224282494 9943.161274506803 19800.000000000044 -2.815744328237696e-13 593999.9902376755
0.06 0.02803220693667841 -9.360499604538465e-06 0.02803731803551667 -7.811593429276388e-06 0.007346457913720134 9943.161312001523 19799.999999999876 -2.5428181831205557e-13 593999.9901327263
0.065 0.028496651267891797 -9.477078645243813e-06 0.02850250242825999 -8.031347509237933e-06 0.007753512346728445 9943.161351809496 19799.999999999905 -1.2951792416338037e-13 593999.9900278102
0.07 0.028961251219717283 -9.592370837596912e-06 0.028967801410857013 -8.242429408308109e-06 0.008167261079826004 9943.16139393113 19799.999999999975 -1.608822328288094e-13 593999.9899229256
0.075 0.02942600835014812 -9.705990916306852e-06 0.029433220697269315 -8.444713293930627e-06 0.008586280975154592 9943.161438366802 19799.99999999998 -1.8901893938938485e-13 593999.9898180879
0.08 0.02989092308946603 -9.81763790741315e-06 0.02989876436827627 -8.63826217020081e-06 0.009009400668147264 9943.161485116927 19799.999999999894 -9.473671847004539e-14 593999.9897132899
